first_player_1,first_player_2,first_player_3,first_player_4,second_player_1,second_player_2,second_player_3,second_player_4,proportion,count
0,0,0,1,1,2,2,3,0.69616538791907910882,1441531200
0,0,0,1,1,2,3,0,0.72157333603461717579,16562400
0,0,0,1,1,2,3,1,0.71976699749941067942,238386240
0,0,0,1,1,2,3,2,0.69511674417234880363,1560724320
0,0,0,1,1,2,3,3,0.54439565419008815703,6111539840
0,0,0,1,1,3,0,0,0.74920090716151277187,142880
0,0,0,1,1,3,0,1,0.74734448753683997054,2118720
0,0,0,1,1,3,0,2,0.7219154328191756046,14443680
0,0,0,1,1,3,0,3,0.56584881281836726889,59497600
0,0,0,1,1,3,1,0,0.7472084455860369594,2261600
0,0,0,1,1,3,1,1,0.74535610970357279375,33124800
0,0,0,1,1,3,1,2,0.7199870280598469964,221823840
0,0,0,1,1,3,1,3,0.56431490421954964477,892600320
0,0,0,1,1,3,2,0,0.72104191837250433829,16562400
0,0,0,1,1,3,2,1,0.71924700873828339994,238386240
0,0,0,1,1,3,2,2,0.69470043130659700693,1560724320
0,0,0,1,1,3,2,3,0.54430593561369760134,6111539840
0,0,0,1,1,3,3,0,0.56445909427434403869,73941280
0,0,0,1,1,3,3,1,0.56303267609443569266,1040482880
0,0,0,1,1,3,3,2,0.54363104086281105978,6631781280
0,0,0,1,1,3,3,3,0.42541677062721620139,25198951040
0,0,0,1,2,0,0,0,0.95946826017936793864,1920
0,0,0,1,2,0,0,1,0.9571162907551123944,28800
0,0,0,1,2,0,0,2,0.92477774854371617142,200880
0,0,0,1,2,0,0,3,0.72551252219375798695,858480
0,0,0,1,2,0,1,0,0.95693590902319692912,30720
0,0,0,1,2,0,1,1,0.95458907153976425985,459360
0,0,0,1,2,0,1,2,0.92232618832289394338,3178080
0,0,0,1,2,0,1,3,0.72356068235821095937,13384320
0,0,0,1,2,0,2,0,0.92358649896049578797,229680
0,0,0,1,2,0,2,1,0.92131203303336684494,3407760
0,0,0,1,2,0,2,2,0.89008969458281853362,23254560
0,0,0,1,2,0,2,3,0.69802844670950322823,95938560
0,0,0,1,2,0,3,0,0.72345665221184931656,1059360
0,0,0,1,2,0,3,1,0.72164796410899128817,15503040
0,0,0,1,2,0,3,2,0.69695379608727257838,103690080
0,0,0,1,2,0,3,3,0.54589192220103435627,416551360
0,0,0,1,2,1,0,0,0.9568532235017995461,30720
0,0,0,1,2,1,0,1,0.95450697868676485061,459360
0,0,0,1,2,1,0,2,0.92225027331642061659,3178080
0,0,0,1,2,1,0,3,0.72351084788341846737,13384320
0,0,0,1,2,1,1,0,0.95432722808950089053,490080
0,0,0,1,2,1,1,1,0.95198610372585411424,7274880
0,0,0,1,2,1,1,2,0.91980488121841447282,49687200
0,0,0,1,2,1,1,3,0.72156396413192883556,205261440
0,0,0,1,2,1,2,0,0.92106403582692496186,3637440
0,0,0,1,2,1,2,1,0.91879511623457909351,53324640
0,0,0,1,2,1,2,2,0.88765194603177815257,357579360
0,0,0,1,2,1,2,3,0.69609854091899813513,1441531200
0,0,0,1,2,1,3,0,0.72146768857086050583,16562400
0,0,0,1,2,1,3,1,0.71966344022284117167,238386240
0,0,0,1,2,1,3,2,0.69503231410772263822,1560724320
0,0,0,1,2,1,3,3,0.54437261718435520215,6111539840
0,0,0,1,2,2,0,0,0.92304939076897394814,229680
0,0,0,1,2,2,0,1,0.9207801116055392552,3407760
0,0,0,1,2,2,0,2,0.88960921563447165604,23254560
0,0,0,1,2,2,0,3,0.69774571642901265264,95938560
0,0,0,1,2,2,1,0,0.92060801319279512583,3637440
0,0,0,1,2,2,1,1,0.91834369559060551808,53324640
0,0,0,1,2,2,1,2,0.88724587857138924077,357579360
0,0,0,1,2,2,1,3,0.69586456628306817625,1441531200
0,0,0,1,2,2,2,0,0.88848092892633496922,26662320
0,0,0,1,2,2,2,1,0.88628653205345616702,384241680
0,0,0,1,2,2,2,2,0.85619306887595596178,2519876160
0,0,0,1,2,2,2,3,0.67127598952182887369,9888075360
0,0,0,1,2,2,3,0,0.69583782577083477586,119193120
0,0,0,1,2,2,3,1,0.6940930994036568588,1679917440
0,0,0,1,2,2,3,2,0.6702959048469906341,10728034080
0,0,0,1,2,2,3,3,0.52487893367352813888,40854196480
0,0,0,1,2,3,0,0,0.72252565544467148682,1059360
0,0,0,1,2,3,0,1,0.7207324889045207114,15503040
0,0,0,1,2,3,0,2,0.69618224745585613622,103690080
0,0,0,1,2,3,0,3,0.54559901586618363839,416551360
0,0,0,1,2,3,1,0,0.72060183425185324835,16562400
0,0,0,1,2,3,1,1,0.71881261563780378288,238386240
0,0,0,1,2,3,1,2,0.69432033472913381709,1560724320
0,0,0,1,2,3,1,3,0.54411818607482691878,6111539840
0,0,0,1,2,3,2,0,0.69534749661693530406,119193120
0,0,0,1,2,3,2,1,0.6936137812599244751,1679917440
0,0,0,1,2,3,2,2,0.6699161468783308424,10728034080
0,0,0,1,2,3,2,3,0.52481015942089038568,40854196480
0,0,0,1,2,3,3,0,0.54429097916563615546,520241440
0,0,0,1,2,3,3,1,0.5429133031653471917,7152022720
0,0,0,1,2,3,3,2,0.52418441706396749036,44430207840
0,0,0,1,2,3,3,3,0.41013846885653923872,164325855360
0,0,0,1,3,0,0,0,0.75085222161326040109,8960
0,0,0,1,3,0,0,1,0.74900115544284258996,133920
0,0,0,1,3,0,0,2,0.72359627705058385247,925440
0,0,0,1,3,0,0,3,0.56738846103051112235,3889120
0,0,0,1,3,0,1,0,0.74886207176170729277,142880
0,0,0,1,3,0,1,1,0.74701505727662924292,2118720
0,0,0,1,3,0,1,2,0.72166984086685483295,14443680
0,0,0,1,3,0,1,3,0.56585541439186844794,59497600
0,0,0,1,3,0,2,0,0.72269286038623669117,1059360
0,0,0,1,3,0,2,1,0.72090293185562127104,15503040
0,0,0,1,3,0,2,2,0.69637727141750185985,103690080
0,0,0,1,3,0,2,3,0.54583299464372059497,416551360
0,0,0,1,3,0,3,0,0.56589961013075168425,4814560
0,0,0,1,3,0,3,1,0.56447665024036913181,69126720
0,0,0,1,3,0,3,2,0.54508543501765617268,451114720
0,0,0,1,3,0,3,3,0.4267196508808093892,1759479040
0,0,0,1,3,1,0,0,0.74879954059176660274,142880
0,0,0,1,3,1,0,1,0.74695299159678671031,2118720
0,0,0,1,3,1,0,2,0.72161259684325457924,14443680
0,0,0,1,3,1,0,3,0.56581827411375897141,59497600
0,0,0,1,3,1,1,0,0.74681440206743732453,2261600
0,0,0,1,3,1,1,1,0.7449718956763042643,33124800
