first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count,mutual_proportion
0,1,1,2,2,0,0.4563750329345146,70416,4.742715586644619e-05
0,1,1,2,2,1,0.4395916632877332,462048,0.0003112023192709005
0,1,1,2,2,2,0.3204702628270782,1181124,0.0007955202233242501
0,1,2,0,0,1,0.6604397384789465,2124,1.430573719897917e-06
0,1,2,0,0,2,0.4862631852659269,6444,4.34021518409707e-06
0,1,2,0,1,0,0.6584463835235107,2400,1.6164674801106406e-06
0,1,2,0,1,1,0.6355467292958729,16992,1.1444589759183336e-05
0,1,2,0,1,2,0.4672278743609164,48780,3.285470153324877e-05
0,1,2,0,2,0,0.4843412215967501,8400,5.6576361803872425e-06
0,1,2,0,2,1,0.4668429045481906,57060,3.843151433963048e-05
0,1,2,0,2,2,0.3410930013739192,151272,0.00010188594527137367
0,1,2,1,0,0,0.6573223324495288,2700,1.8185259151244708e-06
0,1,2,1,0,1,0.634537107954808,19116,1.2875163479081253e-05
0,1,2,1,0,2,0.4667646351928037,55224,3.719491671734584e-05
0,1,2,1,1,0,0.6326436426073055,21600,1.4548207320995766e-05
0,1,2,1,1,1,0.610521145532418,148104,9.975220819762764e-05
0,1,2,1,1,2,0.4484158784382832,400104,0.0002694812936092449
0,1,2,1,2,0,0.4650869682538961,73548,4.953664592799058e-05
0,1,2,1,2,1,0.4481915935754178,476280,0.00032078797142795663
0,1,2,1,2,2,0.3271715308243119,1197288,0.0008064071318027953
0,1,2,2,0,0,0.4821084435604977,10800,7.274103660497883e-06
0,1,2,2,0,1,0.4650234410819277,74052,4.987610409881382e-05
0,1,2,2,0,2,0.3408638428616013,200052,0.00013474064680462245
0,1,2,2,1,0,0.4637340415494053,84348,5.681074958848846e-05
0,1,2,2,1,1,0.4471537002181258,550332,0.0003706640755267704
0,1,2,2,1,2,0.3272692220364724,1397340,0.0009411477786074177
0,1,2,2,2,0,0.3402035724723379,275724,0.00018570786645251094
0,1,2,2,2,1,0.3275751950834451,1698120,0.0011437315655522839
0,1,2,2,2,2,0.2383269865476741,4066272,0.002738748522201856
0,2,0,0,0,1,0.6809341618372163,324,2.182231098149365e-07
0,2,0,0,0,2,0.5060157389565373,1296,8.72892439259746e-07
0,2,0,0,1,0,0.6749500234728589,252,1.6972908541161726e-07
0,2,0,0,1,1,0.6528849029111778,2268,1.5275617687045555e-06
0,2,0,0,1,2,0.4843412215967501,8400,5.6576361803872425e-06
0,2,0,0,2,0,0.4880496081368964,756,5.091872562348518e-07
0,2,0,0,2,1,0.4713941576441536,6300,4.243227135290432e-06
0,2,0,0,2,2,0.347320474670395,20160,1.357832683292938e-05
0,2,0,1,0,0,0.6758097093728062,324,2.182231098149365e-07
0,2,0,1,0,1,0.6538081402301057,2916,1.9640079883344284e-06
0,2,0,1,0,2,0.4853887006061992,10992,7.4034210589067344e-06
0,2,0,1,1,0,0.6480652192254678,2268,1.5275617687045555e-06
0,2,0,1,1,1,0.6267528471575872,19404,1.306913957669453e-05
0,2,0,1,1,2,0.4645004896050997,65520,4.412956220702049e-05
0,2,0,1,2,0,0.4682909361168738,6444,4.34021518409707e-06
0,2,0,1,2,1,0.4522134778186567,49500,3.333964177728196e-05
0,2,0,1,2,2,0.3328706374779014,145620,9.807916435571312e-05
0,2,0,2,0,0,0.4943465652880048,1296,8.72892439259746e-07
0,2,0,2,0,1,0.4778641576390078,11160,7.516573782514479e-06
0,2,0,2,0,2,0.3534515095170075,38256,2.576649163296361e-05
0,2,0,2,1,0,0.4737187510332763,8712,5.867776952801625e-06
0,2,0,2,1,1,0.4577611133870224,68904,4.6408781353976495e-05
0,2,0,2,1,2,0.3379986865824548,211140,0.00014220872656273362
0,2,0,2,2,0,0.3415224887010472,22896,1.542109976025551e-05
0,2,0,2,2,1,0.3295209450715917,162120,0.00010919237828147378
0,2,0,2,2,2,0.241710261065883,444360,0.0002992889539424851
0,2,1,0,0,1,0.6564026513590572,2448,1.6487968297128534e-06
0,2,1,0,0,2,0.4875544356537141,8712,5.867776952801625e-06
0,2,1,0,1,0,0.6508994443993824,2100,1.4144090450968106e-06
0,2,1,0,1,1,0.6295749003313766,17136,1.1541577807989973e-05
0,2,1,0,1,2,0.4668429045481906,57060,3.843151433963048e-05
0,2,1,0,2,0,0.4713941576441536,6300,4.243227135290432e-06
0,2,1,0,2,1,0.4552842164319237,48492,3.2660725435635495e-05
0,2,1,0,2,2,0.335345998788894,144612,9.740024801406665e-05
0,2,1,1,0,0,0.6516481032304582,2700,1.8185259151244708e-06
0,2,1,1,0,1,0.6303868600289736,22032,1.4839171467415682e-05
0,2,1,1,0,2,0.4677897018806411,74484,5.016706824523373e-05
0,2,1,1,1,0,0.6251064911937693,18900,1.2729681405871294e-05
0,2,1,1,1,1,0.6045079754121179,148392,9.994618429524091e-05
0,2,1,1,1,2,0.4478279611334296,460404,0.00031009503904702476
0,2,1,1,2,0,0.4524178639668419,54648,3.6806964522119284e-05
0,2,1,1,2,1,0.4368656444469372,396792,0.0002672505684866922
0,2,1,1,2,2,0.3214810480247288,1113012,0.0007496448762387101
0,2,1,2,0,0,0.4771148198915903,10800,7.274103660497883e-06
0,2,1,2,0,1,0.4611803785536761,85212,5.7392677881328296e-05
0,2,1,2,0,2,0.3409847142174266,267444,0.00018013105364612925
0,2,1,2,1,0,0.4573719650058606,73548,4.953664592799058e-05
0,2,1,2,1,1,0.4419421848152369,545184,0.0003671967527819331
0,2,1,2,1,2,0.3262091911570402,1573416,0.0010597399152857349
0,2,1,2,2,0,0.3302811778098252,202176,0.00013617122052452036
0,2,1,2,2,1,0.3186657920966933,1383960,0.0009321359724058009
0,2,1,2,2,2,0.2336981349303284,3673980,0.0024745288302403714
0,2,2,0,0,1,0.4801772256149973,7200,4.849402440331922e-06
0,2,2,0,0,2,0.3557680205687296,22896,1.542109976025551e-05
0,2,2,0,1,0,0.4768966048641128,6720,4.526108944309794e-06
0,2,2,0,1,1,0.4610959019631655,50400,3.394581708232345e-05
0,2,2,0,1,2,0.3410930013739192,151272,0.00010188594527137367
0,2,2,0,2,0,0.347320474670395,20160,1.357832683292938e-05
0,2,2,0,2,1,0.335345998788894,144612,9.740024801406665e-05
0,2,2,0,2,2,0.2465135052773204,399168,0.00026885087129200177
0,2,2,1,0,0,0.4772331453111344,8640,5.8192829283983065e-06
