first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count,mutual_proportion
0,2,0,1,0,2,0.831766,2250000,2.993317845206157e-09
0,2,0,1,1,0,0.907086,172500,2.2948770146580537e-10
0,2,0,1,1,1,0.903834,4312500,5.737192536645134e-09
0,2,0,1,1,2,0.828762,51750000,6.884631043974161e-08
0,2,0,1,2,0,0.83147,1897500,2.524364716123859e-09
0,2,0,1,2,1,0.828489,47437500,6.310911790309647e-08
0,2,0,1,2,2,0.759674,569166840,7.571987818095989e-07
0,2,0,2,0,0,0.834754,90000,1.1973271380824629e-10
0,2,0,2,0,1,0.831761,2250000,2.993317845206157e-09
0,2,0,2,0,2,0.762674,27000000,3.591981414247388e-08
0,2,0,2,1,0,0.83174,2070000,2.7538524175896643e-09
0,2,0,2,1,1,0.828757,51750000,6.884631043974161e-08
0,2,0,2,1,2,0.75992,620916840,8.260450922493405e-07
0,2,0,2,2,0,0.762403,22770000,3.0292376593486305e-08
0,2,0,2,2,1,0.75967,569174400,7.572088393575588e-07
0,2,0,2,2,2,0.696569,6825828960,9.080833615241326e-06
0,2,1,0,0,1,0.907108,180000,2.3946542761649257e-10
0,2,1,0,0,2,0.831745,2070000,2.7538524175896643e-09
0,2,1,0,1,0,0.907086,172500,2.2948770146580537e-10
0,2,1,0,1,1,0.903832,4140000,5.507704835179329e-09
0,2,1,0,1,2,0.828741,47610000,6.333860560456228e-08
0,2,1,0,2,0,0.831471,1897500,2.524364716123859e-09
0,2,1,0,2,1,0.828488,45540000,6.058475318697261e-08
0,2,1,0,2,2,0.759655,523710000,6.967246616501851e-07
0,2,1,1,0,0,0.90711,187500,2.4944315376717975e-10
0,2,1,1,0,1,0.903856,4500000,5.986635690412314e-09
0,2,1,1,0,2,0.828762,51750000,6.884631043974161e-08
0,2,1,1,1,0,0.903834,4312500,5.737192536645134e-09
0,2,1,1,1,1,0.900591,103500000,1.3769262087948322e-07
0,2,1,1,1,2,0.825769,1190250000,1.583465140114057e-06
0,2,1,1,2,0,0.828489,47437500,6.310911790309647e-08
0,2,1,1,2,1,0.825517,1138500000,1.5146188296743154e-06
0,2,1,1,2,2,0.75693,13091086800,1.741590388070345e-05
